celsr1b	ZDB-GENE-050823-4
si:dkey-247i3.6	
niban2b	ZDB-GENE-030131-6218
ldlrb	ZDB-GENE-040426-1254
CU571328.1	
si:dkeyp-98a7.5	ZDB-GENE-050208-360
osr1	ZDB-GENE-070321-1
rpe65c	ZDB-GENE-081104-505
CABZ01087224.1	
slit2	ZDB-GENE-010306-3
pimr198	
OSBPL8	
crhr2	
zgc:171551	ZDB-GENE-080220-8
si:dkey-96l17.6	
zfp64	ZDB-GENE-031118-80
CT573342.1	
BX537277.2	
prokr1b	ZDB-GENE-081113-2
CU695020.1	
zbtb25	ZDB-GENE-041001-125
pimr81	
rasgrp4	ZDB-GENE-050419-110
si:ch211-238p8.10	
zgc:171750	ZDB-GENE-071004-30
lrtm2b	ZDB-GENE-131121-544
ighv5-5	ZDB-GENE-040514-19
ca5a	ZDB-GENE-080220-57
BX928751.8	
trub2	ZDB-GENE-040704-41
FP101887.4	
ccr9a	ZDB-GENE-060130-125
tdrd5	ZDB-GENE-050208-502
sbno1	ZDB-GENE-080522-2
BX005129.1	
dohh	ZDB-GENE-030131-451
FP236331.1	
mipa	ZDB-GENE-040801-41
igfn1.4	ZDB-GENE-131125-85
si:dkey-238o13.4	ZDB-GENE-070705-403
kcnk15	ZDB-GENE-080220-30
adob	ZDB-GENE-040426-2267
zgc:174564	ZDB-GENE-080219-52
zfand1	ZDB-GENE-040801-269
MCHR2	
eif4enif1	ZDB-GENE-050320-113
BX000981.9	
slc35f2	ZDB-GENE-030131-5516
kat6a	ZDB-GENE-021022-3
camk2g1	ZDB-GENE-050913-146
gatad2b	ZDB-GENE-060503-655
abca4a	ZDB-GENE-050517-3
pmt	ZDB-GENE-060929-740
xpnpep3	ZDB-GENE-040426-2076
socs4	ZDB-GENE-070720-4
ccr12a	ZDB-GENE-060503-97
CU639468.1	
eps8l3a	ZDB-GENE-091204-460
pimr46	ZDB-GENE-121214-74
ssx2ipa	ZDB-GENE-040426-1756
ethe1	ZDB-GENE-040426-2503
anp32b	ZDB-GENE-030131-719
prkg2	ZDB-GENE-060531-80
mrps25	ZDB-GENE-050417-52
