TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family,max
uncx4.1_cx43.4,0.02292963,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_tbx6,0.0,0.0,0.0,0.0,-0.02854906,0.0,uncx4.1,unc,neural_posterior
uncx4.1_dut,0.0,0.0,0.020648502,0.03536186,0.025430257,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rps5,0.0,0.0,0.021950237,0.030273762,0.043888196,0.0,uncx4.1,unc,neural_posterior
uncx4.1_prmt1,0.027617473,0.0,0.02718143,0.04480244,0.022077588,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rps3a,0.029834004,0.0,0.0,0.02246616,0.022680802,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rpl3,0.031907037,0.026241751,0.0,0.023032876,0.027410932,0.0,uncx4.1,unc,neural_posterior
uncx4.1_alcamb,0.0,-0.04023436,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_cirbpa,0.0,0.0,0.0,0.02292972,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rpl19,0.0,0.0,0.0,0.021124197,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_tmsb4x,0.0,0.0,-0.021438576,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_dkc1,0.0,0.0,0.0,0.0,0.026276004,0.0,uncx4.1,unc,neural_posterior
uncx4.1_akap12b,0.0,0.0,0.0,0.0,0.0,-0.022240164,uncx4.1,unc,neural_posterior
uncx4.1_chl1a,-0.021428568,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_cntfr,-0.024306035,0.0,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_apoc1,-0.024342744,-0.026124831,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rpl21,0.0,0.0,0.0,0.0,0.023294412,0.0,uncx4.1,unc,neural_posterior
uncx4.1_meox1,0.0,0.0,0.0,0.0,0.024262588,0.0,uncx4.1,unc,neural_posterior
uncx4.1_si:dkey-67c22.2,0.0,0.0,0.0,0.0,0.021819323,0.0,uncx4.1,unc,neural_posterior
uncx4.1_eif4a1a,0.0,0.0,0.0,0.0,0.02186621,0.0,uncx4.1,unc,neural_posterior
uncx4.1_seta,0.0,0.0,0.0,0.0,0.025824048,0.0,uncx4.1,unc,neural_posterior
uncx4.1_serbp1a,0.0,0.0,0.0,0.0,0.029693166,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rps9,0.0,0.0,0.02097931,0.025292411,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_crabp2b,0.0,0.0,0.0,0.0,0.03254734,0.0,uncx4.1,unc,neural_posterior
uncx4.1_nop56,0.0,0.0,0.0,0.021880796,0.02445114,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rpl7a,0.0,0.0,0.0,0.027986793,0.02368317,0.0,uncx4.1,unc,neural_posterior
uncx4.1_fsta,0.0,0.020790193,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_marcksl1b,0.0,0.021243125,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_fn1b,0.0,0.03068858,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_itga9,0.0,0.031075925,0.0,0.0,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_ripply1,0.0,0.030928671,0.0,0.0,0.029182991,0.0,uncx4.1,unc,neural_posterior
uncx4.1_rps15a,0.0,0.0,0.020627767,0.027922718,0.0,0.0,uncx4.1,unc,neural_posterior
uncx4.1_nectin1b,0.0,0.05027724,0.0,0.0,0.0,0.10446839,uncx4.1,unc,neural_posterior
mafbb_fn1b,0.0,0.0,0.0,0.0,0.0,-0.025042694,mafbb,maf,neural_posterior
mafbb_eef1a1l1,0.052593227,0.030066375,0.02540871,0.03173963,0.0,0.0,mafbb,maf,neural_posterior
mafbb_tubb4b,0.023056513,0.0,0.0,0.0,0.0,0.0,mafbb,maf,neural_posterior
mafbb_rpl34,0.022009663,0.0,0.0,0.0,0.0,0.0,mafbb,maf,neural_posterior
mafbb_rpl5b,0.0,0.0,0.024885066,0.0,0.0,0.0,mafbb,maf,neural_posterior
mafbb_zgc:174855,0.0,0.0,-0.021089498,0.0,0.0,0.0,mafbb,maf,neural_posterior
mafbb_serpinh1b,0.0,0.0,0.0,-0.033119075,0.0,0.0,mafbb,maf,neural_posterior
mafbb_cdx4,0.0,0.0,0.0,0.0,0.024548296,0.0,mafbb,maf,neural_posterior
mafba_rps15a,0.0,0.021593645,0.025792073,0.0,0.0,0.02506351,mafba,maf,NMPs
mafba_kirrel3l,0.0,0.0,0.0,0.0,0.0,-0.031027634,mafba,maf,NMPs
mafba_cdx4,0.0,0.0,0.0,0.0,-0.026802024,0.0,mafba,maf,NMPs
mafba_rpl34,0.0,0.0,0.02410239,0.0,0.0,0.025820645,mafba,maf,NMPs
mafba_rpl5b,0.0,0.0,0.026654683,0.0,0.0,0.03343314,mafba,maf,NMPs
mafba_cfl1,0.0,0.0,0.03845555,0.0,0.0,0.021149,mafba,maf,NMPs
mafba_dut,0.0,0.0,0.020748248,0.023754906,0.02246006,0.0,mafba,maf,NMPs
