TF-gene,neural_posterior,spinal_cord,NMPs,tail_bud,PSM,somites,TF,TF_family
lbx2_rpl13,0.03293643,0.028137302,0.034764618,0.0,0.0,0.027518313,lbx2,lbx
lbx2_cxcl12a,0.026114617,0.028067427,0.03501772,0.0,0.0,0.029592888,lbx2,lbx
lbx2_h3f3b.1,0.039183117,0.024492782,0.025765518,0.0,0.0,0.02329743,lbx2,lbx
lbx2_rpl12,0.036997933,0.031931352,0.027991395,0.0,0.0,0.03332105,lbx2,lbx
lbx2_serbp1a,0.030192439,0.04135728,0.02692054,0.0,0.0,0.028037164,lbx2,lbx
lbx2_pabpc1a,0.036719766,0.031438835,0.0,0.026200807,0.028183311,0.031522457,lbx2,lbx
lbx2_tbx16,0.030120568,0.027743567,0.0,0.0,0.028120788,0.029379494,lbx2,lbx
lbx2_tuba8l2,0.0,0.025710488,0.0,0.0,0.0,0.022764465,lbx2,lbx
lbx2_rps2,0.02908818,0.027479013,0.0,0.0,0.0,0.020796482,lbx2,lbx
lbx2_h3f3d,0.027238432,0.02866554,0.0,0.0,0.0,0.0,lbx2,lbx
lbx2_rps14,0.021805037,0.027153121,0.0,0.0,0.0,0.0,lbx2,lbx
lbx2_tenm4,0.0,0.0,0.0,0.03228484,0.0,0.021793023,lbx2,lbx
lbx2_srrm2,0.0,0.0,0.0,0.029145494,0.0,0.029289292,lbx2,lbx
lbx2_gnl3,0.026034703,0.0,0.0,0.02586794,0.0,0.02362098,lbx2,lbx
lbx2_dkc1,0.025748538,0.0,0.0,0.026003549,0.0,0.025234956,lbx2,lbx
lbx2_nucks1a,0.033190943,0.0,0.0,0.0,0.0,0.029079648,lbx2,lbx
lbx2_npm1a,0.028239526,0.0,0.0,0.0,0.0,0.023356607,lbx2,lbx
lbx2_bzw1a,0.025187926,0.0,0.0,0.0,0.0,0.02400301,lbx2,lbx
lbx2_nop58,0.0,0.0,0.0,0.033084705,0.031014085,0.0,lbx2,lbx
lbx2_her1,0.0,0.0,0.0,0.02685073,0.041563198,0.024667036,lbx2,lbx
lbx2_meox1,0.0,0.0,0.0,0.026518773,0.035444885,0.020844696,lbx2,lbx
lbx2_hsp90ab1,0.022740124,0.0,0.026220152,0.034377936,0.026993662,0.0,lbx2,lbx
lbx2_rps16,0.0,0.0,0.03655974,0.02940738,0.029090844,0.0,lbx2,lbx
lbx2_hmgn2,0.023566097,0.0,0.037160505,0.039490078,0.0,0.031000635,lbx2,lbx
lbx2_anp32b,0.0,0.0,0.03100036,0.025507204,0.0,0.02230082,lbx2,lbx
lbx2_hoxb7a,0.0,0.0,0.02947129,0.033663686,0.0,0.024049982,lbx2,lbx
lbx2_rpsa,0.025426796,0.0,0.03682791,0.028863735,0.0,0.0,lbx2,lbx
lbx2_tubb2b,0.0,0.0,0.0543274,0.037101857,0.0,0.0,lbx2,lbx
lbx2_pcna,0.0,0.0,0.026967553,0.04269165,0.0,0.0,lbx2,lbx
lbx2_tubb4b,0.0,0.0,0.04073538,0.036399372,0.0,0.0,lbx2,lbx
lbx2_lmnb2,0.0,0.0,0.03576218,0.025354942,0.0,0.0,lbx2,lbx
pax6b_u2af2b,0.025347477,0.0,0.03110789,0.03413151,0.0,0.0,pax6b,pax
pax6b_hmgb3a,0.0,0.0,0.026321694,0.026471969,0.0,0.0,pax6b,pax
pax6b_rpl13a,0.0,0.0,0.03010718,0.042570308,0.0,0.0,pax6b,pax
pax3a_ncl,0.0,0.0,0.0423547,0.033639677,0.0,0.0,pax3a,pax
pax6b_ddx39aa,0.0,0.0,0.035402745,0.03349813,0.0,0.0,pax6b,pax
pax7b_zgc:174153,0.0,0.0,0.0,0.035982214,0.03828615,0.0,pax7b,pax
pax6a_aspm,0.0,0.0,0.0,0.028568437,0.032256495,0.0,pax6a,pax
pax6b_nop58,0.0,0.0,0.03061663,0.06352796,0.047924854,0.0,pax6b,pax
pax6a_nova2,0.027433258,0.0,0.028490592,0.029010126,0.038360454,0.0,pax6a,pax
pax6b_sox11a,0.0,0.0,0.025226666,0.031982716,0.035178594,0.020832282,pax6b,pax
pax3b_id1,0.0,0.0,0.045152895,0.033869233,0.035426,0.0,pax3b,pax
pax6a_mki67,0.0,0.0,0.03282819,0.040217493,0.04705566,0.0,pax6a,pax
pax6a_pax6b,0.027027432,0.05066479,0.0,0.0,0.028387573,0.0,pax6a,pax
pax6b_greb1l,0.0,0.038110025,0.0,0.0,0.03302275,0.0,pax6b,pax
pax6a_cx43.4,0.0,0.032054357,0.0,0.037805635,0.0,0.0,pax6a,pax
pax6a_cdx4,0.0,0.03186558,0.0,0.03374299,0.0,0.0,pax6a,pax
pax6b_dag1,0.02565912,0.025057841,0.0,0.025585776,0.026013454,0.0,pax6b,pax
pax6a_prickle2b,0.0,0.034339212,0.0,0.03202899,0.03338046,0.0,pax6a,pax
pax6a_cntfr,0.030837582,0.0,0.029488675,0.0,0.039771676,0.0,pax6a,pax
pax6a_cadm1a,0.027759394,0.02736988,0.026306385,0.0,0.03162463,0.0,pax6a,pax
pax6b_col18a1a,0.025021223,0.0,0.025124662,0.0,0.0,0.0,pax6b,pax
pax6b_rfx4,0.030895077,0.032028068,0.027995372,0.0,0.0,0.0,pax6b,pax
pax6b_nova2,0.025562871,0.030024447,0.0,0.0,0.0,0.0,pax6b,pax
pax6b_prickle2b,0.025243292,0.039008528,0.0,0.0,0.0,0.0,pax6b,pax
pax6a_pcdh19,0.06026697,0.07379292,0.06787864,0.05584226,0.07415684,0.031330522,pax6a,pax
pax6a_rnf220a,0.026812404,0.036412533,0.030099353,0.030877667,0.036368877,0.0,pax6a,pax
pax6a_gli3,0.034149904,0.034467462,0.027364468,0.031072272,0.03532258,0.0,pax6a,pax
pax6b_pax6a,0.03277195,0.03986894,0.026629299,0.0272685,0.032256197,0.0,pax6b,pax
pax6b_pcdh19,0.043259885,0.05468231,0.048064947,0.04387157,0.05094284,0.0,pax6b,pax
pax6a_rfx4,0.022573626,0.04431151,0.034895472,0.046246517,0.053419694,0.0,pax6a,pax
pax6a_fgfr3,0.06549915,0.06293558,0.037703145,0.034415796,0.05208366,0.022262042,pax6a,pax
pax6a_greb1l,0.059741728,0.025778148,0.03396425,0.026191836,0.03190872,0.03956456,pax6a,pax
pax6a_col18a1a,0.04484159,0.032775454,0.04863006,0.050214905,0.03880298,0.042731863,pax6a,pax
pax6a_dag1,0.037125148,0.041079625,0.04089878,0.047811147,0.044854697,0.030498127,pax6a,pax
pax6a_sox11a,0.032256253,0.050310973,0.038104817,0.03471666,0.051672228,0.030696971,pax6a,pax
pax6a_rpl5b,0.0,-0.03460619,-0.056028254,-0.032214772,-0.058273688,-0.040737495,pax6a,pax
pax6a_rps5,0.0,0.0,-0.053500865,-0.06628052,-0.069420666,-0.049194016,pax6a,pax
pax6b_id1,-0.0395498,-0.03602534,-0.061475985,-0.02990773,0.0,0.0,pax6b,pax
pax7b_id1,0.0,0.0,-0.035010576,-0.030048223,0.0,0.021039853,pax7b,pax
pax6a_npm1a,0.0,0.0,-0.03352239,-0.039394848,0.0,0.0,pax6a,pax
pax3a_psmb2,0.0,0.0,-0.028374352,-0.03780657,0.0,-0.019961033,pax3a,pax
pax3a_hmgb2a,0.0,0.0,-0.028289467,-0.030624859,0.0,-0.02258379,pax3a,pax
pax6b_fn1b,0.0,0.0,-0.03318184,-0.04255352,-0.046362996,-0.048483424,pax6b,pax
pax6a_rpl17,0.0,0.0,-0.02545849,-0.03282136,-0.043293096,-0.022072641,pax6a,pax
pax6a_rps3a,0.0,0.0,-0.042941827,-0.035539847,-0.05298829,-0.023476036,pax6a,pax
pax6a_rpl19,0.0,0.0,-0.04507772,-0.02912824,-0.03601396,-0.026235523,pax6a,pax
pax3a_rpl6,0.0,0.0,-0.04282795,-0.039442193,-0.037081085,-0.024227826,pax3a,pax
pax6a_hoxa9b,0.0,0.0,-0.02673392,-0.039378278,-0.060610227,0.0,pax6a,pax
pax6a_rpl7,0.0,0.0,-0.038586214,-0.0267887,-0.05313115,0.0,pax6a,pax
pax6a_h3f3b.1,0.0,0.0,-0.03712152,-0.027158765,-0.054006554,0.0,pax6a,pax
pax3a_prmt1,0.0,-0.025138266,-0.04443734,-0.038661394,-0.026092507,0.0,pax3a,pax
pax6a_ved,0.0,0.0,-0.03771259,-0.049594484,-0.027478676,0.0,pax6a,pax
pax6a_rps4x,0.0,0.0,-0.037611153,-0.03444434,-0.029139526,0.0,pax6a,pax
pax6a_eef1a1l1,0.0,0.0,-0.028676841,-0.030271336,-0.031245634,0.0,pax6a,pax
pax6a_syncrip,0.0,0.0,0.0,0.0,-0.030483635,0.021993376,pax6a,pax
pax3a_rpl24,0.0,0.0,0.0,-0.027020747,-0.034907352,-0.025604837,pax3a,pax
pax6a_rpl12,0.0,0.0,0.0,-0.029650226,-0.033272445,-0.020578366,pax6a,pax
pax6a_rpl4,0.0,0.0,0.0,-0.026700532,-0.03454524,-0.021930173,pax6a,pax
pax6b_hes6,0.0,0.0,0.0,-0.029044764,-0.028689733,0.0,pax6b,pax
pax6a_cirbpa,0.0,0.0,0.0,-0.027102161,-0.045821507,0.0,pax6a,pax
pax6a_rps19,0.0,0.0,0.0,-0.030246278,-0.041333336,0.0,pax6a,pax
pax6a_rack1,0.0,0.0,0.0,-0.030173488,-0.0406658,0.0,pax6a,pax
pax6a_tmsb4x,0.0,0.0,0.0,-0.034049895,-0.055623822,0.0,pax6a,pax
pax6a_rpl34,0.0,0.0,0.0,-0.031860538,-0.04952518,0.0,pax6a,pax
pax6a_nucks1a,-0.025914844,-0.033093594,0.0,-0.03387823,-0.031357247,0.0,pax6a,pax
pax6a_ctnnb1,0.0,-0.028687537,0.0,-0.035870206,-0.028666973,0.0,pax6a,pax
pax3a_rpl32,-0.023003707,0.0,0.0,0.0,0.0,-0.034496203,pax3a,pax
pax3a_id1,-0.023306187,0.0,-0.028615486,0.0,0.0,-0.028490333,pax3a,pax
pax6a_id1,0.0,0.0,-0.044115804,0.0,0.0,-0.023949124,pax6a,pax
pax3a_aldoaa,0.0,0.0,-0.031635668,0.0,0.0,-0.0257527,pax3a,pax
pax3a_rpl10a,0.0,0.0,-0.028207537,0.0,0.0,-0.030914685,pax3a,pax
pax6a_rpl7a,-0.024798393,-0.036052518,-0.028215218,0.0,-0.039008062,-0.023021813,pax6a,pax
pax6a_tubb2b,0.0,-0.03429648,-0.029617907,0.0,-0.058111943,-0.021381462,pax6a,pax
pax6a_hspb1,0.0,-0.028149344,-0.03602387,0.0,-0.040552914,-0.023522316,pax6a,pax
pax6a_ppp2cb,0.0,-0.034360494,0.0,0.0,-0.03991041,0.0,pax6a,pax
pax6a_marcksb,0.0,-0.03919334,-0.029225297,0.0,-0.03100212,0.0,pax6a,pax
pax6a_tubb4b,0.0,-0.02597899,-0.032388818,0.0,-0.029837802,0.0,pax6a,pax
pax6a_rpl9,0.0,-0.024494478,0.0,0.0,-0.03093578,-0.024309719,pax6a,pax
pax6a_rpl28,0.0,0.0,0.0,0.0,-0.03582268,-0.02038879,pax6a,pax
pax3a_rps7,0.0,0.0,0.0,0.0,-0.034157466,-0.03146887,pax3a,pax
pax3a_rpl18a,0.0,0.0,0.0,0.0,-0.0264516,-0.029582286,pax3a,pax
pax3a_rplp2l,0.0,0.0,0.0,0.0,-0.026432145,-0.034277126,pax3a,pax
pax3a_pcna,-0.028890848,0.0,-0.0454597,0.0,-0.03430299,-0.024306968,pax3a,pax
pax3a_tma7,-0.025729408,0.0,-0.028520636,0.0,-0.032642666,-0.03407237,pax3a,pax
pax6a_rpl8,-0.023137767,0.0,-0.030240865,0.0,-0.028093603,-0.021803666,pax6a,pax
pax6a_dut,0.0,0.0,-0.025562802,0.0,-0.025789792,0.0,pax6a,pax
pax6a_rps24,0.0,0.0,-0.032059595,0.0,-0.029622138,0.0,pax6a,pax
pax6a_rpl13a,0.0,0.0,-0.026251629,0.0,-0.031068567,0.0,pax6a,pax
pax6a_rps14,0.0,0.0,-0.029026242,0.0,-0.031463955,0.0,pax6a,pax
pax6a_rpl24,0.0,0.0,-0.028671011,0.0,-0.029041674,0.0,pax6a,pax
pax6a_rpl13,0.0,0.0,-0.026766412,0.0,-0.038708057,0.0,pax6a,pax
pax6a_hspa8,0.0,0.0,-0.025178287,0.0,-0.040788457,0.0,pax6a,pax
pax6a_pcna,0.0,0.0,-0.033562876,0.0,-0.03845555,0.0,pax6a,pax
pax6a_rps18,0.0,0.0,-0.030841298,0.0,-0.037617877,0.0,pax6a,pax
pax6a_rpl35,0.0,0.0,-0.025634203,0.0,-0.03314135,-0.026204642,pax6a,pax
pax6a_ran,0.0,0.0,-0.035958968,0.0,-0.03840607,-0.022245776,pax6a,pax
pax3a_rpl35,0.0,0.0,-0.038866755,0.0,-0.030424755,-0.027042715,pax3a,pax
pax3a_rps24,0.0,0.0,-0.03439212,0.0,-0.026134567,-0.027862372,pax3a,pax
pax3a_rnf220a,-0.045870654,-0.031521652,0.0,0.0,0.0,0.0,pax3a,pax
pax3a_eif3g,0.0,-0.02626926,-0.03000673,0.0,0.0,0.0,pax3a,pax
pax6a_prmt1,0.0,-0.033262044,-0.028952185,0.026337659,0.0,0.0,pax6a,pax
pax6a_cfl1,0.0,-0.02886085,-0.026213372,0.028627984,0.0,0.0,pax6a,pax
vox_msgn1,0.050239224,0.048294246,0.063031234,0.11598106,0.09166457,0.03688426,vox,vox
