TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
nkx1.2la_cfl1,0.0,0.0,0.0,0.0,0.0240535,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_qkia,0.0,0.0,0.0,0.0,0.015449293,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_lig1,0.0,0.0,0.0,0.0,0.013720791,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_hoxa11b,0.0,0.0,0.0,0.0,0.01331286,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_msgn1,0.0,0.0,0.0,0.0,-0.015018421,0.0,nkx1.2la,nkx,16hpf
nkx6.1_dock1,0.0,0.0,0.0,0.0,-0.015171606,0.0,nkx6.1,nkx,16hpf
nkx1.2la_fn1b,0.0,0.0,0.0,-0.03337794,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_tbx16,0.0,0.0,0.0,-0.02250938,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_epha4a,0.0,0.0,0.0,-0.026554927,0.0,0.0,nkx1.2la,nkx,16hpf
nkx6.1_lpar1,0.0,0.0,0.0,-0.040087786,0.0,0.0,nkx6.1,nkx,16hpf
nkx6.1_trps1,0.0,0.0,0.0,-0.029975358,0.0,0.0,nkx6.1,nkx,16hpf
nkx1.2la_zgc:158328,0.0,0.0,0.0,-0.028069003,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_il17rd,0.0,0.0,0.0,-0.023572037,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_trps1,0.0,0.0,0.0,-0.023179112,0.0,0.0,nkx1.2la,nkx,16hpf
nkx1.2la_aspm,0.0,0.0,0.0,-0.025756663,0.0,0.0,nkx1.2la,nkx,16hpf
nkx3-1_tmsb,0.0,0.0,0.0,0.0,0.0,0.0072582276,nkx3-1,nkx,14hpf
nkx3-1_rpl5b,0.0,0.0,0.029956097,0.0,0.0,0.0,nkx3-1,nkx,14hpf
nkx6.2_hmgn2,0.0,0.021052327,0.0,0.0,0.0,0.0,nkx6.2,nkx,12hpf
nkx6.2_dock1,0.0,0.0,0.0,0.0,0.013409271,0.0,nkx6.2,nkx,12hpf
nkx6.2_hspb1,0.0,0.034407068,0.0,0.0,0.0,0.0,nkx6.2,nkx,12hpf
nkx6.2_epha4b,0.0,0.0,0.0,0.0,0.013880425,0.0,nkx6.2,nkx,12hpf
nkx6.2_adamts3,0.0,0.0,0.0,0.0,0.013855585,0.0,nkx6.2,nkx,12hpf
nkx6.2_calr3b,0.0,0.0,0.0,0.0,0.01810661,0.0,nkx6.2,nkx,12hpf
nkx6.2_rps16,0.0,0.022254046,0.0,0.0,0.0,0.0,nkx6.2,nkx,12hpf
nkx6.2_tubb4b,0.0,0.038557407,0.0,0.0,0.0,0.0,nkx6.2,nkx,12hpf
nkx6.2_hspe1,0.0,0.026048383,0.0,0.0,0.0,0.0,nkx6.2,nkx,12hpf
nkx2.7_rps7,0.026049381,0.0,0.0,0.0,0.0,0.0,nkx2.7,nkx,10hpf
nkx2.7_rpl7a,0.02639277,0.0,0.0,0.0,0.0,0.0,nkx2.7,nkx,10hpf
nkx2.7_eef1a1l1,0.0,0.055792954,0.0,0.0,0.0,0.0,nkx2.7,nkx,10hpf
nkx2.7_tubb4b,0.0,-0.023309939,0.0,0.0,0.0,0.0,nkx2.7,nkx,10hpf
ved_myh7ba,0.0,0.0,0.0,0.0,0.015080891,0.0,ved,ved,10hpf
ved_h3f3b.1,0.035849612,0.0,-0.031682562,0.0,0.0,0.0,ved,ved,10hpf
ved_esrrga,0.0,0.0,0.03417896,0.0,0.0,0.0,ved,ved,10hpf
ved_ptk7a,0.0,0.0,0.031850304,0.0,0.0,0.0,ved,ved,10hpf
ved_rpl35a,0.0,0.0,0.032279775,0.0,0.0,0.0,ved,ved,10hpf
ved_khdrbs1a,0.0,0.0,0.032264635,0.0,0.0,0.0,ved,ved,10hpf
ved_hspa8,0.0,0.0,0.030856442,0.0,0.0,0.0,ved,ved,10hpf
ved_cdx4,0.0,0.0,0.030359082,0.0,0.0,0.0,ved,ved,10hpf
ved_inka1b,0.0,0.0,0.05222635,0.0,0.0,0.0,ved,ved,10hpf
ved_wls,0.0,0.0,0.04559929,0.0,0.0,0.0,ved,ved,10hpf
ved_rpl13a,0.038979143,0.0,0.047049157,0.0,0.0,0.0,ved,ved,10hpf
ved_znfl2a,0.025264794,0.0,0.032938592,0.0,0.0,0.0,ved,ved,10hpf
ved_rps9,0.036373768,0.028516626,0.0,0.0,0.0,0.0,ved,ved,10hpf
ved_anp32e,0.0,0.0,0.027987296,0.0,0.0,0.0,ved,ved,10hpf
ved_rpl7a,0.030794634,0.026228562,0.0,0.0,0.0,0.0,ved,ved,10hpf
ved_u2af2b,0.03048019,0.024967544,0.0,0.0,0.0,0.0,ved,ved,10hpf
ved_seta,0.03809529,0.0,0.0,0.0,0.0,0.0,ved,ved,10hpf
