TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
msx1a_rpl13a,0.0,0.0,0.05964785,0.0,0.0,0.003770109,msx1a,msx,14hpf
msx1b_dag1,0.02867664,0.0,0.023716046,0.023861628,0.0,0.0,msx1b,msx,14hpf
msx1b_pax3a,0.03868584,0.0,0.0,0.036030203,0.0,0.0,msx1b,msx,14hpf
msx1b_etv5a,0.030784907,0.019945988,0.0,0.0,0.0,0.0,msx1b,msx,14hpf
msx1b_cx43.4,0.0,0.042665225,0.0,0.025837008,0.0,0.0,msx1b,msx,14hpf
msx1b_tbx16,0.0,-0.045637958,-0.03767052,0.0,-0.024401177,0.0,msx1b,msx,14hpf
msx1b_msgn1,0.0,-0.046887096,-0.04412685,-0.022790067,-0.024325902,0.0,msx1b,msx,14hpf
msx1b_fn1a,0.0,-0.030354368,-0.04018187,-0.029927969,0.0,0.0,msx1b,msx,14hpf
msx1b_adam8a,0.0,0.0,0.029508872,0.02583978,0.0,0.0,msx1b,msx,14hpf
msx1b_lrrc17,0.0,0.0,0.022323785,0.020323938,0.0,0.0,msx1b,msx,14hpf
msx1b_pcdh19,0.050043896,0.04372392,0.038696297,0.0,0.0,0.0,msx1b,msx,14hpf
msx1b_slit3,0.0,0.021746408,0.052046403,0.025494086,0.0,0.0,msx1b,msx,14hpf
msx1b_unc5b,0.033933736,0.043219704,0.047376703,0.0266728,0.0,0.0,msx1b,msx,14hpf
msx1b_gdf11,0.0,0.052600376,0.080179274,0.0,0.0,0.0,msx1b,msx,14hpf
msx1b_ncl,0.0,0.0,0.0,0.0,0.011552931,0.0040778155,msx1b,msx,14hpf
msx1b_her9,0.0,0.0,0.0,0.0,0.012161794,0.0041647754,msx1b,msx,14hpf
msx1b_npm1a,0.0,0.0,0.0,0.0,0.0140539585,0.003834113,msx1b,msx,14hpf
msx1b_hmgb2a,0.0,0.0,0.0,0.0,0.011604234,0.006057937,msx1b,msx,14hpf
msx1b_hmgn2,0.0,0.0,0.0,0.0,0.013208624,0.0067762528,msx1b,msx,14hpf
msx1b_ptmab,0.0,0.0,0.0,0.0,0.016077375,0.0056815236,msx1b,msx,14hpf
msx1b_rps20,0.0,0.0,0.0,0.0,0.018473849,0.010700604,msx1b,msx,14hpf
msx1b_cfl1,0.0,-0.02183535,0.0,0.0,0.012408557,0.003668245,msx1b,msx,14hpf
msx1b_hmga1a,0.0,0.022616472,0.0,0.0,0.011786909,0.0072288066,msx1b,msx,14hpf
msx1b_cirbpa,0.0,0.026659988,0.0,0.0,0.016915895,0.0052450355,msx1b,msx,14hpf
msx1b_tbx16l,0.0,0.0,0.0,-0.023658501,-0.01469613,0.0,msx1b,msx,14hpf
msx1b_epha4a,0.0,0.0,0.0,-0.025215436,-0.012549322,0.0,msx1b,msx,14hpf
msx1b_tenm4,0.0,0.021297164,0.024287391,0.034231607,0.0,0.0066844677,msx1b,msx,14hpf
msx1b_cdh6,0.038164444,0.06279267,0.052554842,0.09088115,0.015006102,0.0,msx1b,msx,14hpf
myf5_slit3,0.0,0.0,-0.028487159,-0.026623959,0.0,0.0,myf5,myf,12hpf
myf5_unc45b,0.0,0.024672478,0.0,0.022440666,0.0,0.0,myf5,myf,12hpf
myf5_rps4x,0.0,0.02625612,0.033227168,0.0,0.0,0.0,myf5,myf,12hpf
myf5_tuba8l4,0.0,0.034242563,0.023279132,0.0,0.0,0.0,myf5,myf,12hpf
myf5_qkia,0.0,0.030282892,0.023325657,0.030361498,0.016315434,0.0,myf5,myf,12hpf
myf5_rps7,0.03689481,0.03282615,0.032375876,0.0,0.0,0.0,myf5,myf,12hpf
myf5_hmga1a,0.03752565,0.031863514,0.024400022,0.0,0.0,0.0,myf5,myf,12hpf
myf5_h3f3b.1,0.03021111,0.024691163,0.028178219,0.0,0.0,0.0,myf5,myf,12hpf
